Period,Start_Date,End_Date,Exc_From_Unlabeled_Data,Start_Read_Time,End_Read_Time,Unix_TS_at_Start,Start_1,Stop_1,Start_2,Stop_2,Start_3,Stop_3,Start_4,Stop_4,Start_5,Stop_5,Exc_Start_1,Exc_Stop_1,Exc_Start_2,Exc_Stop_2,Obvious_Shift_Time_1,Obvious_Shift_Time_2,Obvious_Shift_Time_3,Obvious_Shift_Time_4,With_Labeled_Data
0,03-01,03-03,0,582,184878,,582,184878,,,,,,,,,,,,,,,,,1
1,03-10,03-12,0,452.2,238307,,452.2,238307,,,,,,,,,,,,,,,,,1
2,03-13,03-16,0,2836.5,293717,,2836.5,19554,20474,293717,,,,,,,19554,20474,,,21932,,,,1
3,03-20,03-24,0,31673.4,568803,,31673.4,76626.4,76626.4,568803,,,,,,,,,,,76626.4,,,,1
4,04-01,04-05,0,692,346562,,692,27634.2,27634.2,29673.7,29673.7,346562,,,,,,,,,27634.2,29673.7,,,1
5,04-10,04-11,0,32402,77196,,32402,48110.6,48110.6,66371.9,66662.2,69037,69037,75164,75466,77196,66371.9,66662.2,75164,75466,48110.6,66371.9,69037,75466,1
6,04-16,04-17,0,29559.7,80828,,29559.7,31403,31403,80828,,,,,,,,,,,31403,,,,1
7,04-22,04-24,0,339.9,162359,,339.9,75174.7,75174.7,90681.6,90681.6,162359,,,,,,,,,75174.7,90681.6,,,1
8,05-05,05-06,0,699,94056.7,,699,94056.7,,,,,,,,,,,,,,,,,0
9,05-07,05-08,0,467.5,193812,,467.5,193812,,,,,,,,,,,,,,,,,1
10,05-09,05-10,0,446.5,109358,,446.5,109358,,,,,,,,,,,,,,,,,1
11,05-24,05-25,0,880.7,150520,,880.7,150520,,,,,,,,,,,,,,,,,1
12,05-27,05-28,0,1250,204658,,1250,204658,,,,,,,,,,,,,,,,,1
13,05-31,06-02,0,2323.5,208884,,2323.5,208884,,,,,,,,,,,,,,,,,1
14,06-03,06-05,0,514.7,298902,,514.7,298902,,,,,,,,,,,,,,,,,1
15,06-12,06-14,0,471.3,219146,,471.3,219146,,,,,,,,,,,,,,,,,1
16,06-15,06-17,0,548.35,344104,,548.35,344104,,,,,,,,,,,,,,,,,1
17,06-28,06-30,0,350.4,256537,,350.4,256537,,,,,,,,,,,,,,,,,1
18,07-11,07-13,0,354.5,381815,,354.5,381815,,,,,,,,,,,,,,,,,1
19,07-15,07-18,0,503.5,272938,,503.5,272938,,,,,,,,,,,,,,,,,1
20,07-18,07-22,0,5142,347504,,5142,347504,,,,,,,,,,,,,,,,,0
21,07-22,07-26,0,31569,296305,,31569,296305,,,,,,,,,,,,,,,,,1
22,07-26,07-29,0,20491,289978,,20491,289978,,,,,,,,,,,,,,,,,1
23,07-30,08-02,0,518.3,193468,,518.3,193468,,,,,,,,,,,,,,,,,1
24,08-03,08-06,0,583.4,352024,,583.4,352024,,,,,,,,,,,,,,,,,0
